Uni-port ID,Entry name,Protein names,Gene names,Status,Organism,Length,Mass,Activity regulation,Involvement in disease,Catalytic activity,Cross-reference (PDB),Function
P00698,LYSC_CHICK,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)",LYZ,reviewed,Gallus gallus (Chicken),147,"16,239",N/A,N/A,Reaction=Hydrolysis of (1->4)-beta-linkages between N-acetylmuramic acid and N-acetyl-D-glucosamine residues in a peptidoglycan and between N-acetyl-D-glucosamine residues in chitodextrins,132L;193L;194L;1A2Y;1AKI;1AT5;1AT6;1AZF;1B0D;1B2K;1BGI;1BHZ;1BVK;1BVX;1BWH;1BWI;1BWJ;1C08;1C10;1DPW;1DPX;1DQJ;1E8L;1F0W;1F10;1F3J;1FDL;1FLQ;1FLU;1FLW;1FLY;1FN5;1G7H;1G7I;1G7J;1G7L;1G7M;1GPQ;1GWD;1GXV;1GXX;1H6M;1H87;1HC0;1HEL;1HEM;1HEN;1HEO;1HEP;1HEQ;1HER;1HEW;1HF4;1HSW;1HSX;1IC4;1IC5;1IC7;1IEE;1IO5;1IOQ;1IOR;1IOS;1IOT;1IR7;1IR8;1IR9;1J1O;1J1P;1J1X;1JA2;1JA4;1JA6;1JA7;1JIS;1JIT;1JIY;1JJ0;1JJ1;1JJ3;1JPO;1JTO;1JTT;1KIP;1KIQ;1KIR;1KXW;1KXX;1KXY;1LCN;1LJ3;1LJ4;1LJE;1LJF;1LJG;1LJH;1LJI;1LJJ;1LJK;1LKR;1LKS;1LMA;1LPI;1LSA;1LSB;1LSC;1LSD;1LSE;1LSF;1LSG;1LSM;1LSN;1LSY;1LSZ;1LYO;1LYS;1LYZ;1LZ8;1LZ9;1LZA;1LZB;1LZC;1LZD;1LZE;1LZG;1LZH;1LZN;1LZT;1MEL;1MLC;1N4F;1NBY;1NBZ;1NDG;1NDM;1P2C;1PS5;1QIO;1QTK;1RCM;1RFP;1RI8;1RJC;1SF4;1SF6;1SF7;1SFB;1SFG;1SQ2;1T3P;1T6V;1UA6;1UC0;1UCO;1UIA;1UIB;1UIC;1UID;1UIE;1UIF;1UIG;1UIH;1UUZ;1V7S;1V7T;1VAT;1VAU;1VDP;1VDQ;1VDS;1VDT;1VED;1VFB;1W6Z;1WTM;1WTN;1XEI;1XEJ;1XEK;1XFP;1XGP;1XGQ;1XGR;1XGT;1XGU;1YIK;1YIL;1YKX;1YKY;1YKZ;1YL0;1YL1;1YQV;1Z55;1ZMY;1ZV5;1ZVH;1ZVY;2A6U;2A7D;2A7F;2AUB;2B5Z;2BLX;2BLY;2BPU;2C8O;2C8P;2CDS;2CGI;2D4I;2D4J;2D4K;2D6B;2D91;2DQC;2DQD;2DQE;2DQF;2DQG;2DQH;2DQI;2DQJ;2EIZ;2EKS;2EPE;2F2N;2F30;2F4A;2F4G;2FBB;2G4P;2G4Q;2H9J;2H9K;2HS7;2HS9;2HSO;2HTX;2HU1;2HU3;2HUB;2I25;2I26;2I6Z;2IFF;2LYM;2LYO;2LYZ;2LZH;2LZT;2PC2;2Q0M;2VB1;2W1L;2W1M;2W1X;2W1Y;2WAR;2X0A;2XBR;2XBS;2XJW;2XTH;2YBH;2YBI;2YBJ;2YBL;2YBM;2YBN;2YDG;2YSS;2YVB;2Z12;2Z18;2Z19;2ZNW;2ZNX;2ZQ3;2ZQ4;2ZYP;3A34;3A3Q;3A3R;3A67;3A6B;3A6C;3A8Z;3A90;3A91;3A92;3A93;3A94;3A95;3A96;3AGG;3AGH;3AGI;3AJN;3ATN;3ATO;3AW6;3AW7;3AZ4;3AZ5;3AZ6;3AZ7;3B6L;3B72;3D9A;3E3D;3EMS;3EXD;3F6Z;3G3A;3G3B;3HFM;3IJU;3IJV;3J4G;3J6K;3KAM;3LYM;3LYO;3LYT;3LYZ;3LZT;3M18;3M3U;3MBE;3N9A;3N9C;3N9E;3OJP;3OK0;3OTP;3P4Z;3P64;3P65;3P66;3P68;3QE8;3QNG;3QY4;3RNX;3RT5;3RU5;3RW8;3RZ4;3SP3;3T6U;3TMU;3TMV;3TMW;3TMX;3TXB;3TXD;3TXE;3TXF;3TXG;3TXH;3TXI;3TXJ;3TXK;3ULR;3W6A;3WL2;3WMK;3WPJ;3WPK;3WPL;3WU7;3WU8;3WU9;3WUA;3WUL;3WUM;3WUN;3WVX;3WVY;3WW5;3WW6;3WXT;3WXU;3ZEK;3ZVQ;4A7D;4A8A;4A8B;4AGA;4AXT;4B0D;4B1A;4B49;4B4E;4B4I;4B4J;4BAD;4BAF;4BAP;4BS7;4C3W;4CJ2;4D9Z;4DC4;4DD0;4DD1;4DD2;4DD3;4DD7;4DD9;4DDA;4DDB;4DDC;4DT3;4E3U;4EOF;4ET8;4ET9;4ETA;4ETB;4ETC;4ETD;4ETE;4FJR;4G49;4G4B;4G4C;4G4H;4GCB;4GCC;4GCD;4GCE;4GCF;4GLA;4GLV;4GN3;4GN4;4GN5;4H1P;4H8X;4H8Y;4H8Z;4H90;4H91;4H92;4H93;4H94;4H9A;4H9B;4H9C;4H9E;4H9F;4H9H;4H9I;4HP0;4HPI;4HSF;4HTK;4HTN;4HTQ;4HV1;4HV2;4I8S;4IAS;4IAT;4II8;4J1A;4J1B;4J7V;4KXI;4LFP;4LFX;4LGK;4LT0;4LT1;4LT2;4LT3;4LYB;4LYC;4LYM;4LYO;4LYT;4LYZ;4LZT;4M4O;4M6D;4MR1;4N0J;4N1C;4N1E;4N5R;4N8Z;4N9R;4NEB;4NFV;4NG1;4NG8;4NGI;4NGJ;4NGK;4NGL;4NGO;4NGV;4NGW;4NGY;4NGZ;4NHI;4NHP;4NHQ;4NHS;4NHT;4NIJ;4NSG;4NSH;4NSI;4NSJ;4NWE;4NWH;4NY5;4O34;4OOO;4OOT;4OWA;4OWB;4OWC;4OWE;4OWH;4P2E;4PGJ;4PHI;4PPO;4PRQ;4PRU;4QEQ;4QGZ;4QY9;4R0F;4R6C;4RDS;4RLM;4RLN;4RW1;4RW2;4TSA;4TSB;4TSC;4TTD;4TUN;4TWS;4U3X;4UWN;4UWU;4UWV;4W94;4W96;4WG1;4WG7;4WL6;4WL7;4WLD;4WLT;4WLX;4WLY;4WM1;4WM2;4WM3;4WM4;4WM5;4WM6;4WMG;4WO6;4WO9;4WOA;4X3B;4XAD;4XEN;4XJB;4XJD;4XJF;4XJG;4XJH;4XJI;4XN6;4XYY;4YEM;4YEN;4YEO;4YM8;4YOP;4Z3M;4Z41;4Z46;4Z98;4ZEE;4ZFP;4ZIX;5A3E;5A3Z;5AMY;5APC;5APD;5APE;5APF;5B05;5B06;5B07;5B1F;5B1G;5B59;5B5J;5C6I;5C6J;5C6L;5D5C;5D5F;5DL9;5DLA;5DM9;5E4P;5E9R;5EBH;5F14;5F16;5F81;5F9U;5F9X;5FCP;5FDJ;5FEK;5FEL;5FHW;5FST;5GWB;5HLL;5HMJ;5HMV;5HNC;5HNL;5HQ1;5I4W;5I4X;5I4Y;5I53;5I54;5I5Q;5IDD;5IEL;5IHG;5II3;5ILC;5ILF;5J7C;5JEN;5K2K;5K2N;5K2P;5K2Q;5K2R;5K2S;5K7O;5KJ9;5KKI;5KKJ;5KXK;5KXL;5KXM;5KXN;5KXO;5KXP;5KXR;5KXS;5KXT;5KXW;5KXX;5KXY;5KXZ;5KY1;5L3H;5L3I;5L9J;5LA5;5LA8;5LAF;5LAG;5LAN;5LIN;5LIO;5LVG;5LVH;5LVI;5LVJ;5LXW;5LYM;5LYT;5LYZ;5M1Y;5MJJ;5MYY;5NBJ;5NE0;5NJ1;5NJM;5NJP;5NJQ;5NJR;5NJS;5O4W;5O4X;5O6Q;5OB6;5OB7;5OB8;5OB9;5OCV;5OER;5OLE;5OOV;5OOY;5OP1;5T3F;5TK0;5UVJ;5V4G;5V4H;5V4I;5WR9;5WRA;5WRB;5YIN;5YKY;6A10;6A4N;6A4O;6A4P;6A4Q;6ABN;6ABZ;6AC2;6AD5;6ADF;6AEA;6AGN;6AGR;6AHH;6AHL;6APM;6B7U;6B7V;6B7W;6BO1;6BO2;6BRE;6CIW;6D6E;6D6F;6D6G;6D6H;6F1L;6F1M;6F1O;6F1P;6F1R;6F2I;6F2J;6F2K;6F9X;6F9Y;6F9Z;6FA0;6FRO;6FRQ;6FSJ;6FTR;6G5C;6G5V;6G5Y;6G8A;6GF0;6GNL;6GOB;6GOH;6GOI;6GOJ;6H0K;6H0L;6H3B;6H79;6HT2;6HU5;6HY4;6HY6;6HY8;6HYB;6IG6;6IRJ;6JB2;6JB5;6JB8;6JXP;6JXQ;6JZI;6K5Q;6K8G;6KCB;6KCD;6KD1;6LAV;6LL3;6LT5;6LYT;6LYZ;6MQV;6MUZ;6MX9;6O2H;6P4A;6P4B;6P4D;6PBB;6PL9;6PLA;6PLB;6Q88;6Q8R;6Q8T;6QEA;6QNB;6QQ3;6QQC;6QQD;6QQE;6QQF;6QWW;6QWX;6QWY;6QWZ;6QX0;6QXW;6QXX;6QXY;6QY0;6QY1;6QY2;6QY4;6QY5;6RNB;6RNC;6RO3;6RO5;6RT1;6RT3;6RT9;6RTA;6RXI;6S2N;6S7N;6SET;6SEU;6SEW;6SEX;6SEZ;6SIJ;6SIK;6SIL;6SIM;6SR0;6SR1;6SR2;6SR3;6SR4;6SR5;6SYC;6SYD;6SYE;6TVL;6TVY;6W7P;6W8E;6WEB;6WEC;6WGO;6WRL;6WRM;6WX5;6YBF;6YBI;6YJX;6YOB;6YOC;6YOD;6YOE;6ZS8;7A70;7AC2;7AVE;7AVF;7AVG;7B9J;7BAZ;7BB1;7BCU;7BCX;7BD0;7BDM;7BDZ;7BE0;7BE1;7BE2;7BEB;7BEC;7BHK;7BHL;7BHM;7BHN;7BMO;7BMP;7BMQ;7BMR;7BMS;7BMT;7BR5;7BVM;7BVO;7BYO;7BYP;7C09;7CDK;7CDM;7CDN;7CDO;7CDP;7CDQ;7CDR;7CDS;7CDT;7CDU;7CJZ;7CQO;7CVJ;7CVL;7D01;7D02;7D04;7D05;7D0W;7DEQ;7DER;7DLN;7DTB;7DTF;7E02;7F26;7FCU;7FCW;7FG8;7FGU;7FGV;7JMU;7KH5;7KNK;7L84;7LLP;7LN8;7LN9;7LOQ;7LOR;7LP6;7LPL;7LPM;7LYZ;7NJF;7NKF;7O2O;7P6M;7PNH;7Q04;7Q05;7Q06;7QQ1;7S4W;7VEI;7VGO;7VGP;7WBD;7WBE;7WBF;7WKR;7WUC;8LYZ;9LYZ;,Lysozymes have primarily a bacteriolytic function.
P00734,THRB_HUMAN,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,reviewed,Homo sapiens (Human),622,"70,037",Inhibited by SERPINA5,Factor II deficiency (FA2D),Reaction=Selective cleavage of Arg-|-Gly bonds in fibrinogen to form fibrin and release fibrinopeptides A and B,1A2C;1A3B;1A3E;1A46;1A4W;1A5G;1A61;1ABI;1ABJ;1AD8;1AE8;1AFE;1AHT;1AI8;1AIX;1AWF;1AWH;1AY6;1B5G;1B7X;1BA8;1BB0;1BCU;1BHX;1BMM;1BMN;1BTH;1C1U;1C1V;1C1W;1C4U;1C4V;1C4Y;1C5L;1C5N;1C5O;1CA8;1D3D;1D3P;1D3Q;1D3T;1D4P;1D6W;1D9I;1DE7;1DIT;1DM4;1DOJ;1DWB;1DWC;1DWD;1DWE;1DX5;1E0F;1EB1;1EOJ;1EOL;1FPC;1FPH;1G30;1G32;1G37;1GHV;1GHW;1GHX;1GHY;1GJ4;1GJ5;1H8D;1H8I;1HAG;1HAH;1HAI;1HAO;1HAP;1HBT;1HDT;1HGT;1HLT;1HUT;1HXE;1HXF;1IHS;1IHT;1JMO;1JOU;1JWT;1K21;1K22;1KTS;1KTT;1LHC;1LHD;1LHE;1LHF;1LHG;1MH0;1MU6;1MU8;1MUE;1NM6;1NO9;1NRN;1NRO;1NRP;1NRQ;1NRR;1NRS;1NT1;1NU7;1NU9;1NY2;1NZQ;1O0D;1O2G;1O5G;1OOK;1OYT;1P8V;1PPB;1QBV;1QHR;1QJ1;1QJ6;1QJ7;1QUR;1RD3;1RIW;1SB1;1SFQ;1SG8;1SGI;1SHH;1SL3;1SR5;1T4U;1T4V;1TA2;1TA6;1TB6;1TBZ;1THP;1THR;1THS;1TMB;1TMT;1TMU;1TOM;1TQ0;1TQ7;1TWX;1UMA;1UVS;1VR1;1VZQ;1W7G;1WAY;1WBG;1XM1;1XMN;1YPE;1YPG;1YPJ;1YPK;1YPL;1YPM;1Z71;1Z8I;1Z8J;1ZGI;1ZGV;1ZRB;2A0Q;2A2X;2A45;2AFQ;2ANK;2ANM;2B5T;2BDY;2BVR;2BVS;2BVX;2BXT;2BXU;2C8W;2C8X;2C8Y;2C8Z;2C90;2C93;2CF8;2CF9;2CN0;2FEQ;2FES;2GDE;2GP9;2H9T;2HGT;2HNT;2HPP;2HPQ;2HWL;2JH0;2JH5;2JH6;2OD3;2PGB;2PGQ;2PKS;2PW8;2R2M;2THF;2UUF;2UUJ;2UUK;2V3H;2V3O;2ZC9;2ZDA;2ZDV;2ZF0;2ZFF;2ZFP;2ZFQ;2ZFR;2ZG0;2ZGB;2ZGX;2ZHE;2ZHF;2ZHQ;2ZHW;2ZI2;2ZIQ;2ZNK;2ZO3;3B23;3B9F;3BEF;3BEI;3BF6;3BIU;3BIV;3BV9;3C1K;3C27;3D49;3DA9;3DD2;3DHK;3DT0;3DUX;3E6P;3EE0;3EGK;3EQ0;3F68;3GIC;3GIS;3HAT;3HKJ;3HTC;3JZ1;3JZ2;3K65;3LDX;3LU9;3NXP;3P17;3P6Z;3P70;3PMH;3PO1;3QDZ;3QGN;3QLP;3QTO;3QTV;3QWC;3QX5;3R3G;3RLW;3RLY;3RM0;3RM2;3RML;3RMM;3RMN;3RMO;3S7H;3S7K;3SHA;3SHC;3SI3;3SI4;3SQE;3SQH;3SV2;3T5F;3TU7;3U69;3U8O;3U8R;3U8T;3U98;3U9A;3UTU;3UWJ;3VXE;3VXF;4AX9;4AYV;4AYY;4AZ2;4BAH;4BAK;4BAM;4BAN;4BAO;4BAQ;4BOH;4CH2;4CH8;4DIH;4DII;4DT7;4DY7;4E05;4E06;4E7R;4H6S;4H6T;4HFP;4HTC;4HZH;4I7Y;4LOY;4LXB;4LZ1;4LZ4;4MLF;4NZQ;4O03;4RKJ;4RKO;4RN6;4THN;4UD9;4UDW;4UE7;4UEH;4UFD;4UFE;4UFF;4UFG;4YES;5A2M;5AF9;5AFY;5AFZ;5AHG;5CMX;5DO4;5E8E;5EDK;5EDM;5EW1;5EW2;5GDS;5GIM;5JDU;5JFD;5JZY;5L6N;5MJT;5MLS;5MM6;5NHU;5TO3;5Z5W;5Z5X;6BJR;6C2W;6EO6;6EO7;6EO8;6EO9;6V5T;7KME;8KME;,"Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C."
P00735,THRB_BOVIN,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],F2,reviewed,Bos taurus (Bovine),625,"70,506",Inhibited by SERPINA5,N/A,Reaction=Selective cleavage of Arg-|-Gly bonds in fibrinogen to form fibrin and release fibrinopeptides A and B,1A0H;1AVG;1BBR;1ETR;1ETS;1ETT;1HRT;1ID5;1MKW;1MKX;1NL1;1NL2;1TBQ;1TBR;1TOC;1UCY;1UVT;1UVU;1VIT;1YCP;2A1D;2HPP;2ODY;2PF1;2PF2;2SPT;3PMA;3PMB;,"Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C."
P00740,FA9_HUMAN,Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain],F9,reviewed,Homo sapiens (Human),461,"51,778",N/A,Hemophilia B (HEMB),Reaction=Selective cleavage of Arg-|-Ile bond in factor X to form factor Xa,1CFH;1CFI;1EDM;1IXA;1MGX;1NL0;1RFN;2WPH;2WPI;2WPJ;2WPK;2WPL;2WPM;3KCG;3LC3;3LC5;4WM0;4WMA;4WMB;4WMI;4WMK;4WN2;4WNH;4YZU;4Z0K;4ZAE;5EGM;5F84;5F85;5F86;5JB8;5JB9;5JBA;5JBB;5JBC;5TNO;5TNT;5VYG;6MV4;6RFK;6X5J;6X5L;6X5P;7AHV;,"Factor IX is a vitamin K-dependent plasma protein that participates in the intrinsic pathway of blood coagulation by converting factor X to its active form in the presence of Ca(2+) ions, phospholipids, and factor VIIIa."
P00749,UROK_HUMAN,Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],PLAU,reviewed,Homo sapiens (Human),431,"48,523",Inhibited by SERPINA5,Quebec platelet disorder (QPD),Reaction=Specific cleavage of Arg-|-Val bond in plasminogen to form plasmin,1C5W;1C5X;1C5Y;1C5Z;1EJN;1F5K;1F5L;1F92;1FV9;1GI7;1GI8;1GI9;1GJ7;1GJ8;1GJ9;1GJA;1GJB;1GJC;1GJD;1KDU;1LMW;1O3P;1O5A;1O5B;1O5C;1OWD;1OWE;1OWH;1OWI;1OWJ;1OWK;1SC8;1SQA;1SQO;1SQT;1U6Q;1URK;1VJ9;1VJA;1W0Z;1W10;1W11;1W12;1W13;1W14;2FD6;2I9A;2I9B;2NWN;2O8T;2O8U;2O8W;2R2W;2VIN;2VIO;2VIP;2VIQ;2VIV;2VIW;2VNT;3BT1;3BT2;3IG6;3KGP;3KHV;3KID;3M61;3MHW;3MWI;3OX7;3OY5;3OY6;3PB1;3QN7;3U73;4DVA;4DW2;4FU7;4FU8;4FU9;4FUB;4FUC;4FUD;4FUE;4FUF;4FUG;4FUH;4FUI;4FUJ;4GLY;4H42;4JK5;4JK6;4K24;4MNV;4MNW;4MNX;4MNY;4OS1;4OS2;4OS4;4OS5;4OS6;4OS7;4X0W;4X1N;4X1P;4X1Q;4X1R;4X1S;4XSK;4ZHL;4ZHM;4ZKN;4ZKO;4ZKR;4ZKS;5HGG;5WXF;5WXO;5WXP;5WXQ;5WXR;5WXS;5WXT;5XG4;5YC6;5YC7;5Z1C;5ZA7;5ZA8;5ZA9;5ZAE;5ZAF;5ZAG;5ZAH;5ZAJ;5ZC5;6AG2;6AG3;6AG7;6AG9;6JYP;6JYQ;6L04;6L05;6NMB;6XVD;7DZD;,Specifically cleaves the zymogen plasminogen to form the active enzyme plasmin.
P01031,CO5_HUMAN,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain],C5 CPAMD4,reviewed,Homo sapiens (Human),1676,"188,305",N/A,Complement component 5 deficiency (C5D),N/A,1CFA;1KJS;1XWE;3CU7;3HQA;3HQB;3KLS;3KM9;3PRX;3PVM;4A5W;4E0S;4P39;4UU9;5B4P;5B71;5HCC;5HCD;5HCE;5I5K;6H03;6H04;6RPT;6RQJ;7AD6;7AD7;7NYC;7NYD;,"Activation of C5 by a C5 convertase initiates the spontaneous assembly of the late complement components, C5-C9, into the membrane attack complex."
P01112,RASH_HUMAN,"GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]",HRAS HRAS1,reviewed,Homo sapiens (Human),189,"21,298",Alternates between an inactive form bound to GDP and an active form bound to GTP,Costello syndrome (CSTLO),Reaction=GTP + H2O = GDP + H(+) + phosphate,121P;1AA9;1AGP;1BKD;1CLU;1CRP;1CRQ;1CRR;1CTQ;1GNP;1GNQ;1GNR;1HE8;1IAQ;1IOZ;1JAH;1JAI;1K8R;1LF0;1LF5;1LFD;1NVU;1NVV;1NVW;1NVX;1P2S;1P2T;1P2U;1P2V;1PLJ;1PLK;1PLL;1Q21;1QRA;1RVD;1WQ1;1XCM;1XD2;1XJ0;1ZVQ;1ZW6;221P;2C5L;2CE2;2CL0;2CL6;2CL7;2CLC;2CLD;2EVW;2LCF;2LWI;2N42;2N46;2Q21;2QUZ;2RGA;2RGB;2RGC;2RGD;2RGE;2RGG;2UZI;2VH5;2X1V;3DDC;3I3S;3K8Y;3K9L;3K9N;3KKM;3KKN;3KUD;3L8Y;3L8Z;3LBH;3LBI;3LBN;3LO5;3OIU;3OIV;3OIW;3RRY;3RRZ;3RS0;3RS2;3RS3;3RS4;3RS5;3RS7;3RSL;3RSO;3TGP;421P;4DLR;4DLS;4DLT;4DLU;4DLV;4DLW;4DLX;4DLY;4DLZ;4DST;4DSU;4EFL;4EFM;4EFN;4G0N;4G3X;4K81;4L9S;4L9W;4NYI;4NYJ;4NYM;4Q21;4RSG;4URU;4URV;4URW;4URX;4URY;4URZ;4US0;4US1;4US2;4XVQ;4XVR;521P;5B2Z;5B30;5E95;5P21;5VBE;5VBZ;5WDO;5WDP;5WDQ;5WFO;5WFP;5WFQ;5WFR;5WPL;5X9S;5ZC6;621P;6AMB;6AXG;6BVI;6BVJ;6BVK;6BVL;6BVM;6CUO;6CUP;6CUR;6D55;6D56;6D59;6D5E;6D5G;6D5H;6D5J;6D5L;6D5M;6D5V;6D5W;6DZH;6E6C;6E6P;6MQT;6NTC;6NTD;6Q21;6V94;6V9F;6V9J;6V9L;6V9M;6V9N;6V9O;6ZJ0;6ZL3;721P;7DPH;7DPJ;7JHP;7JIF;7JIG;7JIH;7JII;7L0F;7L0G;7OG9;7OGA;7OGB;7OGC;7OGD;7OGE;7OGF;821P;,Involved in the activation of Ras protein signal transduction.
P01127,PDGFB_HUMAN,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin),PDGFB PDGF2 SIS,reviewed,Homo sapiens (Human),241,"27,283",N/A,"Basal ganglia calcification, idiopathic, 5 (IBGC5)",N/A,1PDG;3MJG;4HQU;4HQX;4QCI;6T9E;,"Growth factor that plays an essential role in the regulation of embryonic development, cell proliferation, cell migration, survival and chemotaxis."
P01266,THYG_HUMAN,Thyroglobulin (Tg),TG,reviewed,Homo sapiens (Human),2768,"304,790",N/A,Thyroid dyshormonogenesis 3 (TDH3),N/A,6SCJ;7B75;,Acts as a substrate for the production of iodinated thyroid hormones thyroxine (T4) and triiodothyronine (T3).
P01298,PAHO_HUMAN,Pancreatic prohormone (Pancreatic polypeptide) (PP) (Obinepitide) [Cleaved into: Pancreatic hormone (PH); Pancreatic icosapeptide (PI)],PPY PNP,reviewed,Homo sapiens (Human),95,"10,445",N/A,N/A,N/A,1TZ4;1TZ5;,Pancreatic hormone is synthesized in pancreatic islets of Langerhans and acts as a regulator of pancreatic and gastrointestinal functions.
P01303,NPY_HUMAN,Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)],NPY,reviewed,Homo sapiens (Human),97,"10,851",N/A,N/A,N/A,1QFA;1RON;7RTA;7VGX;,NPY is implicated in the control of feeding and in secretion of gonadotrophin-release hormone.
P01308,INS_HUMAN,Insulin [Cleaved into: Insulin B chain; Insulin A chain],INS,reviewed,Homo sapiens (Human),110,"11,981",N/A,Hyperproinsulinemia (HPRI),N/A,1A7F;1AI0;1AIY;1B9E;1BEN;1EFE;1EV3;1EV6;1EVR;1FU2;1FUB;1G7A;1G7B;1GUJ;1HIQ;1HIS;1HIT;1HLS;1HTV;1HUI;1IOG;1IOH;1J73;1JCA;1JCO;1JK8;1K3M;1KMF;1LKQ;1LPH;1MHI;1MHJ;1MSO;1OS3;1OS4;1Q4V;1QIY;1QIZ;1QJ0;1RWE;1SF1;1SJT;1SJU;1T0C;1T1K;1T1P;1T1Q;1TRZ;1TYL;1TYM;1UZ9;1VKT;1W8P;1XDA;1XGL;1XW7;1ZEG;1ZEH;1ZNJ;2AIY;2C8Q;2C8R;2CEU;2G54;2G56;2H67;2HH4;2HHO;2HIU;2JMN;2JUM;2JUU;2JUV;2JV1;2JZQ;2K91;2K9R;2KJJ;2KJU;2KQP;2KQQ;2KXK;2L1Y;2L1Z;2LGB;2LWZ;2M1D;2M1E;2M2M;2M2N;2M2O;2M2P;2MLI;2MPG;2MPI;2MVC;2MVD;2N2V;2N2W;2N2X;2OLY;2OLZ;2OM0;2OM1;2OMG;2OMH;2OMI;2OMQ;2QIU;2R34;2R35;2R36;2RN5;2VJZ;2VK0;2W44;2WBY;2WC0;2WRU;2WRV;2WRW;2WRX;2WS0;2WS1;2WS4;2WS6;2WS7;3AIY;3BXQ;3E7Y;3E7Z;3EXX;3FQ9;3HYD;3I3Z;3I40;3ILG;3INC;3IR0;3JSD;3KQ6;3P2X;3P33;3Q6E;3ROV;3TT8;3U4N;3UTQ;3UTS;3UTT;3V19;3V1G;3W11;3W12;3W13;3W7Y;3W7Z;3W80;3ZI3;3ZQR;3ZS2;3ZU1;4AIY;4AJX;4AJZ;4AK0;4AKJ;4CXL;4CXN;4CY7;4EFX;4EWW;4EWX;4EWZ;4EX0;4EX1;4EXX;4EY1;4EY9;4EYD;4EYN;4EYP;4F0N;4F0O;4F1A;4F1B;4F1C;4F1D;4F1F;4F1G;4F4T;4F4V;4F51;4F8F;4FG3;4FKA;4GBC;4GBI;4GBK;4GBL;4GBN;4IUZ;4IYD;4IYF;4NIB;4OGA;4P65;4RXW;4UNE;4UNG;4UNH;4WDI;4XC4;4Y19;4Y1A;4Z76;4Z77;4Z78;5AIY;5BOQ;5BPO;5BQQ;5BTS;5C0D;5CJO;5CNY;5CO2;5CO6;5CO9;5E7W;5EMS;5EN9;5ENA;5HPR;5HPU;5HQI;5HRQ;5HYJ;5MAM;5MHD;5MT3;5MT9;5MWQ;5T7R;5UDP;5UOZ;5UQA;5URT;5URU;5USP;5USS;5USV;5UU2;5UU3;5UU4;5VIZ;5WBT;5WDM;5WOB;6B3Q;6B70;6BFC;6CE7;6CE9;6CEB;6CK2;6GNQ;6GV0;6H3M;6HN5;6JK8;6JR3;6K59;6NWV;6O17;6P4Z;6S34;6S4I;6S4J;6SOF;6TC2;6TYH;6U46;6VEP;6VER;6VES;6VET;6X4X;6Z7W;6Z7Y;7BW7;7BW8;7BWA;7JP3;7MD4;7MD5;7MQO;7MQR;7MQS;7NHU;7PG0;7PG2;7PG3;7PG4;7QID;7S4Y;7SL1;7SL2;7SL3;7SL4;7SL6;7SL7;7STH;7STI;7STJ;7STK;,"Insulin decreases blood glucose concentration. It increases cell permeability to monosaccharides, amino acids and fatty acids."
